Referencia_Pedido;Fecha_Pedido;Fecha_Entrega;Fecha_Prevista;Fecha_Pago;Cliente;Vendedor;Equipo_Ventas;Subtotal;Impuestos;Total;Estado_Pedido;Estado_Factura;Cantidad
SO174;19/02/2019;6/03/2019;4/03/2019;6/03/2019;Cliente4;Lina;Equipo Especial;6243600;1186284;7429884;Pedido de venta;Facturado;2904
SO175;20/02/2019;12/03/2019;7/03/2019;15/04/2019;Cliente9;Lina;Equipo Especial;8337700;1584163;9921863;Pedido de venta;Facturado;3878
SO176;21/02/2019;7/03/2019;6/03/2019;5/03/2019;Cliente4;Carlos;Equipo Oriente;6213500;1180565;7394065;Pedido de venta;Facturado;2890
SO177;22/02/2019;9/03/2019;9/03/2019;21/04/2019;Cliente7;Ricardo;Equipo Sur;10320000;1960800;12280800;Pedido de venta;Facturado;4800
SO178;23/02/2019;7/03/2019;8/03/2019;21/03/2019;Cliente2;Diana;Equipo Sur;7305700;1388083;8693783;Pedido de venta;Facturado;3398
SO179;24/02/2019;12/03/2019;9/03/2019;19/03/2019;Cliente6;Yeny;Equipo Centro;12700050;2413010;15113060;Pedido de venta;Facturado;5907
SO180;25/02/2019;14/03/2019;6/03/2019;10/04/2019;Cliente18;Lina;Equipo Especial;6944500;1319455;8263955;Pedido de venta;Facturado;3230
SO181;26/02/2019;18/03/2019;8/03/2019;28/03/2019;Cliente8;Ricardo;Equipo Sur;9438500;1793315;11231815;Pedido de venta;Facturado;4390
SO182;27/02/2019;15/03/2019;10/03/2019;11/03/2019;Cliente12;Nathalie;Equipo Oriente;9182650;1744704;10927354;Pedido de venta;Facturado;4271
SO183;28/02/2019;19/03/2019;14/03/2019;18/04/2019;Cliente7;Carlos;Equipo Oriente;9161150;1740619;10901769;Pedido de venta;Facturado;4261
SO184;1/03/2019;14/03/2019;14/03/2019;12/03/2019;Cliente10;Diana;Equipo Sur;4734300;899517;5633817;Pedido de venta;Facturado;2202
SO185;2/03/2019;22/03/2019;15/03/2019;16/04/2019;Cliente2;Carlos;Equipo Oriente;11459500;2177305;13636805;Pedido de venta;Facturado;5330
SO186;3/03/2019;23/03/2019;15/03/2019;14/04/2019;Cliente3;Rocio;Equipo Sur;8410800;1598052;10008852;Pedido de venta;Facturado;3912
SO187;4/03/2019;22/03/2019;17/03/2019;25/04/2019;Cliente13;Lina;Equipo Especial;4489200;852948;5342148;Pedido de venta;Facturado;2088
SO188;5/03/2019;25/03/2019;17/03/2019;1/05/2019;Cliente18;Enrique;Equipo Sur;6684350;1270027;7954377;Pedido de venta;Facturado;3109
SO189;6/03/2019;16/03/2019;15/03/2019;4/05/2019;Cliente17;Nathalie;Equipo Oriente;7838900;1489391;9328291;Pedido de venta;Facturado;3646
SO190;7/03/2019;17/03/2019;17/03/2019;6/04/2019;Cliente18;Ricardo;Equipo Sur;9894300;1879917;11774217;Pedido de venta;Facturado;4602
SO191;8/03/2019;25/03/2019;19/03/2019;19/04/2019;Cliente9;Enrique;Equipo Sur;10492000;1993480;12485480;Pedido de venta;Facturado;4880
SO192;9/03/2019;27/03/2019;24/03/2019;19/04/2019;Cliente8;Nathalie;Equipo Oriente;12067950;2292911;14360861;Pedido de venta;Facturado;5613
SO193;10/03/2019;29/03/2019;24/03/2019;26/03/2019;Cliente2;Ricardo;Equipo Sur;9748100;1852139;11600239;Pedido de venta;Facturado;4534
SO194;11/03/2019;23/03/2019;19/03/2019;28/03/2019;Cliente15;Lina;Equipo Especial;33669000;6397110;40066110;Pedido de venta;Facturado;15660
SO195;12/03/2019;25/03/2019;24/03/2019;28/04/2019;Cliente2;Angelica;Equipo Oriente;11685250;2220198;13905448;Pedido de venta;Facturado;5435
SO196;13/03/2019;31/03/2019;25/03/2019;4/04/2019;Cliente2;Diana;Equipo Sur;9776050;1857450;11633500;Pedido de venta;Facturado;4547
SO197;14/03/2019;24/03/2019;29/03/2019;25/03/2019;Cliente7;Yeny;Equipo Centro;13254750;2518403;15773153;Pedido de venta;Facturado;6165
SO198;15/03/2019;28/03/2019;27/03/2019;8/05/2019;Cliente3;Lina;Equipo Especial;10885450;2068236;12953686;Pedido de venta;Facturado;5063
SO199;16/03/2019;2/04/2019;24/03/2019;25/04/2019;Cliente12;Ricardo;Equipo Sur;18008400;3421596;21429996;Pedido de venta;Facturado;8376
SO200;17/03/2019;29/03/2019;1/04/2019;9/04/2019;Cliente8;Nathalie;Equipo Oriente;9971700;1894623;11866323;Pedido de venta;Facturado;4638
SO201;18/03/2019;5/04/2019;26/03/2019;16/04/2019;Cliente2;Angelica;Equipo Oriente;6084500;1156055;7240555;Pedido de venta;Facturado;2830
SO202;19/03/2019;30/03/2019;31/03/2019;3/04/2019;Cliente3;Lina;Equipo Especial;23271600;4421604;27693204;Pedido de venta;Facturado;10824
SO203;20/03/2019;2/04/2019;29/03/2019;15/04/2019;Cliente12;Ricardo;Equipo Sur;7434700;1412593;8847293;Pedido de venta;Facturado;3458
SO204;21/03/2019;5/04/2019;30/03/2019;30/03/2019;Cliente8;Nathalie;Equipo Oriente;22678200;4308858;26987058;Pedido de venta;Facturado;10548
SO205;22/03/2019;2/04/2019;5/04/2019;5/05/2019;Cliente2;Angelica;Equipo Oriente;16761400;3184666;19946066;Pedido de venta;Facturado;7796
SO206;23/03/2019;5/04/2019;5/04/2019;25/04/2019;Cliente2;Diana;Equipo Sur;17660100;3355419;21015519;Pedido de venta;Facturado;8214
SO207;24/03/2019;13/04/2019;8/04/2019;21/04/2019;Cliente7;Yeny;Equipo Centro;9892150;1879509;11771659;Pedido de venta;Facturado;4601
SO208;25/03/2019;4/04/2019;5/04/2019;19/05/2019;Cliente2;Ricardo;Equipo Sur;2618700;497553;3116253;Pedido de venta;Facturado;1218
SO209;26/03/2019;7/04/2019;9/04/2019;14/04/2019;Cliente4;Yeny;Equipo Centro;2519800;478762;2998562;Pedido de venta;Facturado;1172
SO210;27/03/2019;11/04/2019;9/04/2019;25/05/2019;Cliente6;Diana;Equipo Sur;4254850;808422;5063272;Pedido de venta;Facturado;1979
SO211;28/03/2019;7/04/2019;6/04/2019;16/05/2019;Cliente15;David;Equipo Especial;3278750;622963;3901713;Pedido de venta;Facturado;1525
SO212;29/03/2019;11/04/2019;11/04/2019;29/04/2019;Cliente6;Yeny;Equipo Centro;2259650;429334;2688984;Pedido de venta;Facturado;1051
SO213;30/03/2019;19/04/2019;8/04/2019;28/05/2019;Cliente18;Lina;Equipo Especial;6235000;1184650;7419650;Pedido de venta;Facturado;2900
SO214;31/03/2019;10/04/2019;11/04/2019;16/05/2019;Cliente8;Ricardo;Equipo Sur;6295200;1196088;7491288;Pedido de venta;Facturado;2928
SO215;1/04/2019;18/04/2019;11/04/2019;21/05/2019;Cliente12;Nathalie;Equipo Oriente;3498050;664630;4162680;Pedido de venta;Facturado;1627
SO216;2/04/2019;16/04/2019;12/04/2019;24/05/2019;Cliente7;Carlos;Equipo Oriente;4336550;823945;5160495;Pedido de venta;Facturado;2017
SO217;3/04/2019;20/04/2019;14/04/2019;29/04/2019;Cliente10;Diana;Equipo Sur;5067550;962835;6030385;Pedido de venta;Facturado;2357
SO218;4/04/2019;16/04/2019;14/04/2019;24/04/2019;Cliente3;Lina;Equipo Especial;6241450;1185876;7427326;Pedido de venta;Facturado;2903
SO219;5/04/2019;22/04/2019;17/04/2019;29/04/2019;Cliente12;Ricardo;Equipo Sur;3399150;645839;4044989;Pedido de venta;Facturado;1581
SO220;6/04/2019;25/04/2019;18/04/2019;5/05/2019;Cliente8;Nathalie;Equipo Oriente;4407500;837425;5244925;Pedido de venta;Facturado;2050
SO221;7/04/2019;17/04/2019;21/04/2019;15/04/2019;Cliente2;Angelica;Equipo Oriente;6127500;1164225;7291725;Pedido de venta;Facturado;2850
SO222;8/04/2019;23/04/2019;18/04/2019;17/04/2019;Cliente2;Diana;Equipo Sur;5777050;1097640;6874690;Pedido de venta;Facturado;2687
SO223;9/04/2019;21/04/2019;21/04/2019;21/05/2019;Cliente3;Lina;Equipo Especial;5721150;1087019;6808169;Pedido de venta;Facturado;2661
SO224;10/04/2019;24/04/2019;23/04/2019;24/04/2019;Cliente12;Ricardo;Equipo Sur;5237400;995106;6232506;Pedido de venta;Facturado;2436
SO225;11/04/2019;21/04/2019;25/04/2019;4/05/2019;Cliente8;Nathalie;Equipo Oriente;5626550;1069045;6695595;Pedido de venta;Facturado;2617
SO226;12/04/2019;22/04/2019;24/04/2019;29/04/2019;Cliente2;Angelica;Equipo Oriente;5884550;1118065;7002615;Pedido de venta;Facturado;2737
SO227;13/04/2019;26/04/2019;25/04/2019;25/04/2019;Cliente2;Diana;Equipo Sur;3897950;740611;4638561;Pedido de venta;Facturado;1813
SO228;14/04/2019;1/05/2019;29/04/2019;6/06/2019;Cliente7;Yeny;Equipo Centro;8288250;1574768;9863018;Pedido de venta;Facturado;3855
SO229;15/04/2019;1/05/2019;23/04/2019;11/05/2019;Cliente2;Ricardo;Equipo Sur;6606950;1255321;7862271;Pedido de venta;Facturado;3073
SO230;16/04/2019;29/04/2019;29/04/2019;16/05/2019;Cliente4;Yeny;Equipo Centro;6712300;1275337;7987637;Pedido de venta;Facturado;3122
SO231;17/04/2019;2/05/2019;26/04/2019;12/06/2019;Cliente6;Diana;Equipo Sur;8131300;1544947;9676247;Pedido de venta;Facturado;3782
SO232;18/04/2019;2/05/2019;29/04/2019;27/04/2019;Cliente15;David;Equipo Especial;10975750;2085393;13061143;Pedido de venta;Facturado;5105
SO233;19/04/2019;6/05/2019;28/04/2019;12/05/2019;Cliente12;Ricardo;Equipo Sur;6628450;1259406;7887856;Pedido de venta;Facturado;3083
SO234;20/04/2019;1/05/2019;30/04/2019;30/04/2019;Cliente8;Nathalie;Equipo Oriente;8677400;1648706;10326106;Pedido de venta;Facturado;4036
SO235;21/04/2019;6/05/2019;4/05/2019;19/06/2019;Cliente2;Angelica;Equipo Oriente;6527400;1240206;7767606;Pedido de venta;Facturado;3036
SO236;22/04/2019;6/05/2019;3/05/2019;11/06/2019;Cliente2;Diana;Equipo Sur;5211600;990204;6201804;Pedido de venta;Facturado;2424
SO237;23/04/2019;13/05/2019;1/05/2019;3/06/2019;Cliente7;Yeny;Equipo Centro;9728750;1848463;11577213;Pedido de venta;Facturado;4525
SO238;24/04/2019;12/05/2019;2/05/2019;7/05/2019;Cliente2;Ricardo;Equipo Sur;5901750;1121333;7023083;Pedido de venta;Facturado;2745
SO239;25/04/2019;8/05/2019;9/05/2019;6/05/2019;Cliente4;Yeny;Equipo Centro;2786400;529416;3315816;Pedido de venta;Facturado;1296
SO240;26/04/2019;11/05/2019;6/05/2019;5/05/2019;Cliente6;Diana;Equipo Sur;7337950;1394211;8732161;Pedido de venta;Facturado;3413
SO241;27/04/2019;10/05/2019;8/05/2019;5/06/2019;Cliente15;David;Equipo Especial;5385750;1023293;6409043;Pedido de venta;Facturado;2505
SO242;28/04/2019;10/05/2019;13/05/2019;14/05/2019;Cliente4;Yeny;Equipo Centro;4061350;771657;4833007;Pedido de venta;Facturado;1889
SO243;29/04/2019;14/05/2019;11/05/2019;26/05/2019;Cliente2;Ricardo;Equipo Sur;4297850;816592;5114442;Pedido de venta;Facturado;1999
SO244;30/04/2019;16/05/2019;10/05/2019;26/05/2019;Cliente4;Yeny;Equipo Centro;6606950;1255321;7862271;Pedido de venta;Facturado;3073
SO245;1/05/2019;18/05/2019;12/05/2019;26/05/2019;Cliente6;Diana;Equipo Sur;7497050;1424440;8921490;Pedido de venta;Facturado;3487
SO246;2/05/2019;19/05/2019;14/05/2019;28/06/2019;Cliente15;David;Equipo Especial;10055550;1910555;11966105;Pedido de venta;Facturado;4677
SO247;3/05/2019;23/05/2019;14/05/2019;25/05/2019;Cliente7;Carlos;Equipo Oriente;4818150;915449;5733599;Pedido de venta;Facturado;2241
SO248;4/05/2019;21/05/2019;16/05/2019;8/06/2019;Cliente18;Julian;Equipo Centro;6542450;1243066;7785516;Pedido de venta;Facturado;3043
SO249;5/05/2019;15/05/2019;20/05/2019;12/06/2019;Cliente13;Lina;Equipo Especial;18178250;3453868;21632118;Pedido de venta;Facturado;8455
SO250;6/05/2019;19/05/2019;16/05/2019;15/05/2019;Cliente7;Julian;Equipo Centro;8116250;1542088;9658338;Pedido de venta;Facturado;3775
SO251;7/05/2019;24/05/2019;16/05/2019;6/06/2019;Cliente14;Angelica;Equipo Oriente;6301650;1197314;7498964;Pedido de venta;Facturado;2931
SO252;8/05/2019;18/05/2019;17/05/2019;1/06/2019;Cliente4;Angelica;Equipo Oriente;3859250;733258;4592508;Pedido de venta;Facturado;1795
SO253;9/05/2019;26/05/2019;18/05/2019;19/05/2019;Cliente2;Nathalie;Equipo Oriente;4626800;879092;5505892;Pedido de venta;Facturado;2152
SO254;10/05/2019;23/05/2019;18/05/2019;12/06/2019;Cliente13;Ricardo;Equipo Sur;7823850;1486532;9310382;Pedido de venta;Facturado;3639
SO255;11/05/2019;28/05/2019;22/05/2019;19/06/2019;Cliente13;Rocio;Equipo Sur;5837250;1109078;6946328;Pedido de venta;Facturado;2715
SO256;12/05/2019;29/05/2019;26/05/2019;29/05/2019;Cliente4;Diana;Equipo Sur;3029350;575577;3604927;Pedido de venta;Facturado;1409
SO257;13/05/2019;27/05/2019;24/05/2019;3/07/2019;Cliente3;Lina;Equipo Especial;14890900;2829271;17720171;Pedido de venta;Facturado;6926
SO258;14/05/2019;26/05/2019;27/05/2019;25/05/2019;Cliente12;Ricardo;Equipo Sur;8744050;1661370;10405420;Pedido de venta;Facturado;4067
SO259;15/05/2019;26/05/2019;23/05/2019;27/05/2019;Cliente8;Nathalie;Equipo Oriente;4173150;792899;4966049;Pedido de venta;Facturado;1941
SO260;16/05/2019;5/06/2019;28/05/2019;3/07/2019;Cliente2;Angelica;Equipo Oriente;5138500;976315;6114815;Pedido de venta;Facturado;2390
SO261;17/05/2019;29/05/2019;28/05/2019;25/06/2019;Cliente2;Diana;Equipo Sur;10380200;1972238;12352438;Pedido de venta;Facturado;4828
SO262;18/05/2019;3/06/2019;27/05/2019;5/06/2019;Cliente7;Yeny;Equipo Centro;5566350;1057607;6623957;Pedido de venta;Facturado;2589
SO263;19/05/2019;5/06/2019;2/06/2019;10/06/2019;Cliente2;Ricardo;Equipo Sur;7939950;1508591;9448541;Pedido de venta;Facturado;3693
SO264;20/05/2019;31/05/2019;28/05/2019;23/06/2019;Cliente4;Yeny;Equipo Centro;10425350;1980817;12406167;Pedido de venta;Facturado;4849
SO265;21/05/2019;8/06/2019;1/06/2019;4/07/2019;Cliente6;Diana;Equipo Sur;10571550;2008595;12580145;Pedido de venta;Facturado;4917
SO266;22/05/2019;5/06/2019;3/06/2019;17/07/2019;Cliente15;David;Equipo Especial;6944500;1319455;8263955;Pedido de venta;Facturado;3230
SO267;23/05/2019;4/06/2019;4/06/2019;2/06/2019;Cliente7;Carlos;Equipo Oriente;10087800;1916682;12004482;Pedido de venta;Facturado;4692
SO268;24/05/2019;5/06/2019;7/06/2019;6/07/2019;Cliente18;Julian;Equipo Centro;9905050;1881960;11787010;Pedido de venta;Facturado;4607
SO269;25/05/2019;4/06/2019;5/06/2019;16/06/2019;Cliente13;Lina;Equipo Especial;10074900;1914231;11989131;Pedido de venta;Facturado;4686
SO270;26/05/2019;11/06/2019;10/06/2019;19/07/2019;Cliente7;Julian;Equipo Centro;10655400;2024526;12679926;Pedido de venta;Facturado;4956
SO271;27/05/2019;15/06/2019;10/06/2019;21/07/2019;Cliente14;Angelica;Equipo Oriente;8479600;1611124;10090724;Pedido de venta;Facturado;3944
SO272;28/05/2019;14/06/2019;6/06/2019;26/06/2019;Cliente4;Angelica;Equipo Oriente;12083000;2295770;14378770;Pedido de venta;Facturado;5620
SO273;29/05/2019;9/06/2019;8/06/2019;19/07/2019;Cliente2;Nathalie;Equipo Oriente;5798550;1101725;6900275;Pedido de venta;Facturado;2697
SO274;30/05/2019;13/06/2019;13/06/2019;13/07/2019;Cliente13;Ricardo;Equipo Sur;7851800;1491842;9343642;Pedido de venta;Facturado;3652
SO275;31/05/2019;14/06/2019;8/06/2019;29/07/2019;Cliente13;Rocio;Equipo Sur;5678150;1078849;6756999;Pedido de venta;Facturado;2641
SO276;1/06/2019;19/06/2019;15/06/2019;10/07/2019;Cliente4;Diana;Equipo Sur;13198850;2507782;15706632;Pedido de venta;Facturado;6139
SO277;2/06/2019;13/06/2019;14/06/2019;15/06/2019;Cliente3;Lina;Equipo Especial;12065800;2292502;14358302;Pedido de venta;Facturado;5612
SO278;3/06/2019;18/06/2019;11/06/2019;24/06/2019;Cliente12;Ricardo;Equipo Sur;16647450;3163016;19810466;Pedido de venta;Facturado;7743
SO279;4/06/2019;18/06/2019;16/06/2019;10/07/2019;Cliente8;Nathalie;Equipo Oriente;7828150;1487349;9315499;Pedido de venta;Facturado;3641
SO280;5/06/2019;19/06/2019;19/06/2019;17/06/2019;Cliente12;Nathalie;Equipo Oriente;4102200;779418;4881618;Pedido de venta;Facturado;1908
SO281;6/06/2019;21/06/2019;14/06/2019;19/06/2019;Cliente7;Carlos;Equipo Oriente;14209350;2699777;16909127;Pedido de venta;Facturado;6609
SO282;7/06/2019;21/06/2019;18/06/2019;24/07/2019;Cliente10;Diana;Equipo Sur;10449000;1985310;12434310;Pedido de venta;Facturado;4860
SO283;8/06/2019;18/06/2019;21/06/2019;20/06/2019;Cliente2;Carlos;Equipo Oriente;6118900;1162591;7281491;Pedido de venta;Facturado;2846
SO284;9/06/2019;20/06/2019;17/06/2019;6/07/2019;Cliente3;Rocio;Equipo Sur;16198100;3077639;19275739;Pedido de venta;Facturado;7534
SO285;10/06/2019;26/06/2019;21/06/2019;26/06/2019;Cliente13;Lina;Equipo Especial;13665400;2596426;16261826;Pedido de venta;Facturado;6356
SO286;11/06/2019;22/06/2019;25/06/2019;4/08/2019;Cliente18;Enrique;Equipo Sur;9189100;1745929;10935029;Pedido de venta;Facturado;4274
SO287;12/06/2019;1/07/2019;26/06/2019;23/06/2019;Cliente17;Nathalie;Equipo Oriente;7344400;1395436;8739836;Pedido de venta;Facturado;3416
SO288;13/06/2019;23/06/2019;27/06/2019;21/06/2019;Cliente18;Ricardo;Equipo Sur;12418400;2359496;14777896;Pedido de venta;Facturado;5776
SO289;14/06/2019;25/06/2019;28/06/2019;23/07/2019;Cliente9;Enrique;Equipo Sur;11956150;2271669;14227819;Pedido de venta;Facturado;5561
SO290;15/06/2019;27/06/2019;28/06/2019;16/07/2019;Cliente8;Nathalie;Equipo Oriente;8174300;1553117;9727417;Pedido de venta;Facturado;3802
SO291;16/06/2019;5/07/2019;26/06/2019;1/07/2019;Cliente2;Ricardo;Equipo Sur;4566600;867654;5434254;Pedido de venta;Facturado;2124
SO292;17/06/2019;27/06/2019;27/06/2019;6/08/2019;Cliente15;Lina;Equipo Especial;12973100;2464889;15437989;Pedido de venta;Facturado;6034
SO293;18/06/2019;1/07/2019;26/06/2019;15/08/2019;Cliente2;Angelica;Equipo Oriente;25030300;4755757;29786057;Pedido de venta;Facturado;11642
SO294;19/06/2019;3/07/2019;27/06/2019;18/08/2019;Cliente2;Diana;Equipo Sur;14656550;2784745;17441295;Pedido de venta;Facturado;6817
SO295;20/06/2019;30/06/2019;5/07/2019;3/08/2019;Cliente7;Yeny;Equipo Centro;15026350;2855007;17881357;Pedido de venta;Facturado;6989
SO296;21/06/2019;6/07/2019;6/07/2019;23/07/2019;Cliente2;Carlos;Equipo Oriente;17191400;3266366;20457766;Pedido de venta;Facturado;7996
SO297;22/06/2019;7/07/2019;30/06/2019;2/08/2019;Cliente2;Ricardo;Equipo Sur;17847150;3390959;21238109;Pedido de venta;Facturado;8301
SO298;23/06/2019;3/07/2019;4/07/2019;15/07/2019;Cliente4;Yeny;Equipo Centro;24054200;4570298;28624498;Pedido de venta;Facturado;11188
SO299;24/06/2019;13/07/2019;5/07/2019;16/08/2019;Cliente6;Diana;Equipo Sur;13039750;2477553;15517303;Pedido de venta;Facturado;6065
SO300;25/06/2019;8/07/2019;8/07/2019;24/08/2019;Cliente15;David;Equipo Especial;7408900;1407691;8816591;Pedido de venta;Facturado;3446
SO301;26/06/2019;11/07/2019;8/07/2019;18/07/2019;Cliente7;Carlos;Equipo Oriente;14465200;2748388;17213588;Pedido de venta;Facturado;6728
SO302;27/06/2019;17/07/2019;9/07/2019;16/08/2019;Cliente18;Julian;Equipo Centro;8397900;1595601;9993501;Pedido de venta;Facturado;3906
SO303;28/06/2019;11/07/2019;12/07/2019;10/08/2019;Cliente13;Lina;Equipo Especial;18431950;3502071;21934021;Pedido de venta;Facturado;8573
SO304;29/06/2019;16/07/2019;8/07/2019;24/08/2019;Cliente7;Julian;Equipo Centro;8935400;1697726;10633126;Pedido de venta;Facturado;4156
SO305;30/06/2019;14/07/2019;14/07/2019;24/07/2019;Cliente14;Angelica;Equipo Oriente;25251750;4797833;30049583;Pedido de venta;Facturado;11745
SO306;1/07/2019;12/07/2019;11/07/2019;17/08/2019;Cliente4;Angelica;Equipo Oriente;10631750;2020033;12651783;Pedido de venta;Facturado;4945
SO307;2/07/2019;22/07/2019;12/07/2019;29/08/2019;Cliente2;Nathalie;Equipo Oriente;13639600;2591524;16231124;Pedido de venta;Facturado;6344
SO308;3/07/2019;19/07/2019;11/07/2019;11/07/2019;Cliente13;Ricardo;Equipo Sur;15374650;2921184;18295834;Pedido de venta;Facturado;7151
SO309;4/07/2019;21/07/2019;19/07/2019;22/07/2019;Cliente13;Rocio;Equipo Sur;15918600;3024534;18943134;Pedido de venta;Facturado;7404
SO310;5/07/2019;17/07/2019;16/07/2019;18/07/2019;Cliente4;Diana;Equipo Sur;8516150;1618069;10134219;Pedido de venta;Facturado;3961
SO311;6/07/2019;19/07/2019;18/07/2019;1/08/2019;Cliente3;Lina;Equipo Especial;14796300;2811297;17607597;Pedido de venta;Facturado;6882
SO312;7/07/2019;20/07/2019;19/07/2019;19/08/2019;Cliente12;Ricardo;Equipo Sur;15804650;3002884;18807534;Pedido de venta;Facturado;7351
SO313;8/07/2019;27/07/2019;21/07/2019;18/08/2019;Cliente8;Nathalie;Equipo Oriente;4727850;898292;5626142;Pedido de venta;Facturado;2199
SO314;9/07/2019;22/07/2019;21/07/2019;1/08/2019;Cliente7;Carlos;Equipo Oriente;11156350;2119707;13276057;Pedido de venta;Facturado;5189
SO315;10/07/2019;27/07/2019;23/07/2019;3/09/2019;Cliente10;Diana;Equipo Sur;14351250;2726738;17077988;Pedido de venta;Facturado;6675
SO316;11/07/2019;31/07/2019;22/07/2019;6/09/2019;Cliente2;Carlos;Equipo Oriente;10302800;1957532;12260332;Pedido de venta;Facturado;4792
SO317;12/07/2019;24/07/2019;27/07/2019;7/08/2019;Cliente3;Rocio;Equipo Sur;11330500;2152795;13483295;Pedido de venta;Facturado;5270
SO318;13/07/2019;28/07/2019;25/07/2019;2/08/2019;Cliente13;Lina;Equipo Especial;16312050;3099290;19411340;Pedido de venta;Facturado;7587
SO319;14/07/2019;1/08/2019;26/07/2019;12/08/2019;Cliente18;Enrique;Equipo Sur;15473550;2939975;18413525;Pedido de venta;Facturado;7197
SO320;15/07/2019;4/08/2019;25/07/2019;27/07/2019;Cliente17;Nathalie;Equipo Oriente;37717450;7166316;44883766;Pedido de venta;Facturado;17543
SO321;16/07/2019;5/08/2019;27/07/2019;12/08/2019;Cliente18;Ricardo;Equipo Sur;21037750;3997173;25034923;Pedido de venta;Facturado;9785
SO322;17/07/2019;30/07/2019;25/07/2019;5/08/2019;Cliente9;Enrique;Equipo Sur;14091100;2677309;16768409;Pedido de venta;Facturado;6554
SO323;18/07/2019;31/07/2019;31/07/2019;24/08/2019;Cliente9;Fabian;Equipo Sur;18560950;3526581;22087531;Pedido de venta;Facturado;8633
SO324;19/07/2019;7/08/2019;3/08/2019;31/07/2019;Cliente10;Carlos;Equipo Oriente;19126400;3634016;22760416;Pedido de venta;Facturado;8896
SO325;20/07/2019;30/07/2019;29/07/2019;31/08/2019;Cliente7;Lina;Equipo Especial;35014900;6652831;41667731;Pedido de venta;Facturado;16286
SO326;21/07/2019;31/07/2019;2/08/2019;10/09/2019;Cliente6;Diana;Equipo Sur;19068350;3622987;22691337;Pedido de venta;Facturado;8869
SO327;22/07/2019;4/08/2019;5/08/2019;3/08/2019;Cliente2;Carlos;Equipo Oriente;9705100;1843969;11549069;Pedido de venta;Facturado;4514
SO328;23/07/2019;4/08/2019;7/08/2019;8/08/2019;Cliente2;Enrique;Equipo Sur;44894150;8529889;53424039;Pedido de venta;Facturado;20881
SO329;24/07/2019;9/08/2019;8/08/2019;9/09/2019;Cliente1;Enrique;Equipo Sur;12654900;2404431;15059331;Pedido de venta;Facturado;5886
SO330;25/07/2019;7/08/2019;8/08/2019;20/08/2019;Cliente2;Ricardo;Equipo Sur;44696350;8492307;53188657;Pedido de venta;Facturado;20789
SO331;26/07/2019;13/08/2019;3/08/2019;10/08/2019;Cliente13;Angelica;Equipo Oriente;18414750;3498803;21913553;Pedido de venta;Facturado;8565
SO332;27/07/2019;11/08/2019;10/08/2019;26/08/2019;Cliente12;Ricardo;Equipo Sur;22650250;4303548;26953798;Pedido de venta;Facturado;10535
SO333;28/07/2019;17/08/2019;8/08/2019;23/09/2019;Cliente16;Nathalie;Equipo Oriente;10274850;1952222;12227072;Pedido de venta;Facturado;4779
SO334;29/07/2019;8/08/2019;8/08/2019;24/09/2019;Cliente7;Jorge;Equipo Centro;4497800;854582;5352382;Pedido de venta;Facturado;2092
SO335;30/07/2019;9/08/2019;8/08/2019;30/08/2019;Cliente2;Angelica;Equipo Oriente;4824600;916674;5741274;Pedido de venta;Facturado;2244
SO336;31/07/2019;16/08/2019;13/08/2019;1/09/2019;Cliente7;Nathalie;Equipo Oriente;5293300;1005727;6299027;Pedido de venta;Facturado;2462
SO337;1/08/2019;14/08/2019;13/08/2019;29/09/2019;Cliente19;Jorge;Equipo Centro;6441400;1223866;7665266;Pedido de venta;Facturado;2996
SO338;2/08/2019;13/08/2019;10/08/2019;3/09/2019;Cliente2;Julian;Equipo Centro;4153800;789222;4943022;Pedido de venta;Facturado;1932
SO339;3/08/2019;15/08/2019;12/08/2019;11/09/2019;Cliente2;Ricardo;Equipo Sur;12145350;2307617;14452967;Pedido de venta;Facturado;5649
SO340;4/08/2019;22/08/2019;17/08/2019;7/09/2019;Cliente4;Yeny;Equipo Centro;8799950;1671991;10471941;Pedido de venta;Facturado;4093
SO341;5/08/2019;15/08/2019;15/08/2019;5/09/2019;Cliente6;Diana;Equipo Sur;5893150;1119699;7012849;Pedido de venta;Facturado;2741
SO342;6/08/2019;23/08/2019;15/08/2019;20/08/2019;Cliente15;David;Equipo Especial;5160000;980400;6140400;Pedido de venta;Facturado;2400
SO343;7/08/2019;17/08/2019;22/08/2019;29/08/2019;Cliente7;Carlos;Equipo Oriente;5091200;967328;6058528;Pedido de venta;Facturado;2368
SO344;8/08/2019;24/08/2019;16/08/2019;14/09/2019;Cliente18;Julian;Equipo Centro;9335300;1773707;11109007;Pedido de venta;Facturado;4342
SO345;9/08/2019;19/08/2019;18/08/2019;26/09/2019;Cliente13;Lina;Equipo Especial;6677900;1268801;7946701;Pedido de venta;Facturado;3106
SO346;10/08/2019;25/08/2019;24/08/2019;17/09/2019;Cliente7;Julian;Equipo Centro;8365650;1589474;9955124;Pedido de venta;Facturado;3891
SO347;11/08/2019;29/08/2019;19/08/2019;25/08/2019;Cliente14;Angelica;Equipo Oriente;6813350;1294537;8107887;Pedido de venta;Facturado;3169
SO348;12/08/2019;31/08/2019;26/08/2019;10/10/2019;Cliente4;Angelica;Equipo Oriente;6078050;1154830;7232880;Pedido de venta;Facturado;2827
